,219616_at,211715_s_at,205412_at,218285_s_at,202772_at,204607_at,218434_s_at
219616_at,,,,,,,
211715_s_at,,,,,,,
205412_at,,,,,,,
218285_s_at,,,,,,,
202772_at,,,,,,,
204607_at,,,,,,,
218434_s_at,,,,,,,
