,208344_x_at,208375_at,219211_at,208259_x_at,204785_x_at,204786_s_at,205867_at,205868_s_at,209895_at,209896_s_at,212610_at,206687_s_at,211405_x_at,207964_x_at,211145_x_at,208182_x_at,201648_at,206359_at,206360_s_at,214105_at,205546_s_at,205170_at,217199_s_at,209999_x_at,210000_s_at,210001_s_at,213337_s_at,208448_x_at,202716_at,217686_at,217689_at,204191_at,200887_s_at,209969_s_at,AFFX-HUMISGF3A/M97935_3_at,AFFX-HUMISGF3A/M97935_5_at,AFFX-HUMISGF3A/M97935_MA_at,AFFX-HUMISGF3A/M97935_MB_at,208548_at,214569_at,207932_at,211338_at,208261_x_at,208173_at
AFFX-HUMISGF3A/M97935_3_at,2.0,2.0,,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,,,,2.0,,,,,,,2.0,2.0,2.0,2.0,2.0,2.0
AFFX-HUMISGF3A/M97935_5_at,2.0,2.0,,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,,,,2.0,,,,,,,2.0,2.0,2.0,2.0,2.0,2.0
AFFX-HUMISGF3A/M97935_MA_at,2.0,2.0,,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,,,,2.0,,,,,,,2.0,2.0,2.0,2.0,2.0,2.0
AFFX-HUMISGF3A/M97935_MB_at,2.0,2.0,,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,,,,2.0,,,,,,,2.0,2.0,2.0,2.0,2.0,2.0
208548_at,,,,,1.0,1.0,,,,,,,,,,,1.0,,,,,1.0,1.0,2.0,2.0,2.0,2.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,
214569_at,,,,,1.0,1.0,,,,,,,,,,,1.0,,,,,1.0,1.0,2.0,2.0,2.0,2.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,
207932_at,,,,,1.0,1.0,,,,,,,,,,,1.0,,,,,1.0,1.0,2.0,2.0,2.0,2.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,
211338_at,,,,,1.0,1.0,,,,,,,,,,,1.0,,,,,1.0,1.0,2.0,2.0,2.0,2.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,
208261_x_at,,,,,1.0,1.0,,,,,,,,,,,1.0,,,,,1.0,1.0,2.0,2.0,2.0,2.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,
208173_at,,,,,1.0,1.0,,,,,,,,,,,1.0,,,,,1.0,1.0,2.0,2.0,2.0,2.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,
